Year,RU,F_System,State,Mileage,Lane_Miles,VMT,Fatalities
1980,Rural,Minor Collector,Missouri,5479,5748,363000000,19
1980,Rural,Minor Collector,Montana,9579,19158,133000000,17
1980,Rural,Minor Collector,Nebraska,11719,2474,318000000,6
1980,Rural,Minor Collector,Nevada,2450,19042,140000000,17
1980,Rural,Minor Collector,New Hampshire,1237,2720,391000000,22
1980,Rural,Minor Collector,New Jersey,1360,4932,934000000,25
1980,Rural,Minor Collector,New Mexico,2466,22016,201000000,10
1980,Rural,Minor Collector,New York,11008,15282,2953000000,130
1980,Rural,Minor Collector,North Carolina,9521,23438,2412000000,164
1980,Rural,Minor Collector,North Dakota,7641,4900,180000000,9
1980,Rural,Minor Collector,Ohio,7536,15072,2268000000,99
1980,Rural,Minor Collector,Oklahoma,3492,6984,123000000,0
1980,Rural,Minor Collector,Oregon,6573,13146,359000000,26
1980,Rural,Minor Collector,Pennsylvania,9243,18486,2350000000,119
1980,Rural,Minor Collector,Rhode Island,221,442,100000000,2
1980,Rural,Minor Collector,South Carolina,4099,8198,449000000,38
1980,Rural,Minor Collector,South Dakota,6973,13946,198000000,13
1980,Rural,Minor Collector,Tennessee,6794,13588,861000000,18
1980,Rural,Minor Collector,Texas,18458,36916,1730000000,82
1980,Rural,Minor Collector,Utah,4392,8784,102000000,0
1980,Rural,Minor Collector,Vermont,1037,4740,143000000,5
1980,Rural,Minor Collector,Virginia,2370,2074,359000000,25
1980,Rural,Minor Collector,Washington,7144,14288,704000000,48
1980,Rural,Minor Collector,West Virginia,2196,14842,314000000,10
1980,Rural,Minor Collector,Wisconsin,7421,4392,1187000000,40
1980,Rural,Minor Collector,Wyoming,7439,14878,535000000,11
1980,Rural,Local,Alabama,50097,100194,2805000000,84
1980,Rural,Local,Alaska,4470,8940,694000000,7
1980,Rural,Local,Arizona,53954,91764,494000000,123
1980,Rural,Local,Arkansas,45882,107908,1196000000,70
1980,Rural,Local,California,81461,162922,5236000000,160
1980,Rural,Local,Colorado,41140,82280,986000000,36
1980,Rural,Local,Connecticut,6322,12644,904000000,36
1980,Rural,Local,Delaware,2737,0,489000000,21
1980,Rural,Local,District of Columbia,0,5474,0,0
1980,Rural,Local,Florida,46227,92454,4737000000,501
1980,Rural,Local,Georgia,57227,114454,2671000000,166
1980,Rural,Local,Hawaii,1842,3684,552000000,7
1980,Rural,Local,Idaho,52945,158622,779000000,59
1980,Rural,Local,Illinois,79311,98310,2763000000,160
1980,Rural,Local,Indiana,49155,131280,1775000000,161
1980,Rural,Local,Iowa,65640,105890,1506000000,67
1980,Rural,Local,Kansas,86865,173730,1237000000,77
1980,Rural,Local,Kentucky,41095,82190,1807000000,67
1980,Rural,Local,Louisiana,30895,61790,1442000000,117
1980,Rural,Local,Maine,11997,17164,630000000,46
1980,Rural,Local,Maryland,11038,22076,1112000000,42
1980,Rural,Local,Massachusetts,8582,23994,492000000,104
1980,Rural,Local,Michigan,60041,120082,2353000000,173
1980,Rural,Local,Minnesota,79607,159214,2085000000,71
1980,Rural,Local,Mississippi,43337,147660,1081000000,111
1980,Rural,Local,Missouri,73830,86674,2567000000,83
1980,Rural,Local,Montana,46812,93624,569000000,25
1980,Rural,Local,Nebraska,61587,17172,1142000000,60
1980,Rural,Local,Nevada,34290,105110,251000000,12
1980,Rural,Local,New Hampshire,8586,16412,440000000,25
1980,Rural,Local,New Jersey,8206,76318,850000000,57
1980,Rural,Local,New Mexico,38159,97140,814000000,69
1980,Rural,Local,New York,48570,119742,4272000000,204
1980,Rural,Local,North Carolina,52555,123174,2836000000,257
1980,Rural,Local,North Dakota,59871,68580,684000000,24
1980,Rural,Local,Ohio,56778,113556,6331000000,195
1980,Rural,Local,Oklahoma,67446,134892,1555000000,253
1980,Rural,Local,Oregon,91601,183202,2666000000,30
1980,Rural,Local,Pennsylvania,61545,123090,5525000000,222
1980,Rural,Local,Rhode Island,2139,4278,275000000,0
1980,Rural,Local,South Carolina,36647,73294,1571000000,108
1980,Rural,Local,South Dakota,47124,94248,491000000,34
1980,Rural,Local,Tennessee,49644,99288,1527000000,122
1980,Rural,Local,Texas,140419,280838,3988000000,374
1980,Rural,Local,Utah,31451,62902,443000000,24
1980,Rural,Local,Vermont,8996,69194,344000000,27
1980,Rural,Local,Virginia,34597,17992,2291000000,109
1980,Rural,Local,Washington,49142,98284,660000000,17
1980,Rural,Local,West Virginia,20807,130888,891000000,42
1980,Rural,Local,Wisconsin,65444,41614,1677000000,145
1980,Rural,Local,Wyoming,20679,41358,218000000,26
1980,Urban,Interstate,Alabama,159,771,1737000000,25
1980,Urban,Interstate,Alaska,0,67,0,0
1980,Urban,Interstate,Arizona,107,510,1251000000,19
1980,Urban,Interstate,Arkansas,107,479,914000000,17
1980,Urban,Interstate,California,797,5770,27176000000,305
1980,Urban,Interstate,Colorado,111,556,2158000000,38
1980,Urban,Interstate,Connecticut,213,1189,4417000000,58
1980,Urban,Interstate,Delaware,34,70,488000000,5
1980,Urban,Interstate,District of Columbia,12,184,338000000,3
1980,Urban,Interstate,Florida,329,1580,5721000000,100
1980,Urban,Interstate,Georgia,228,1244,4399000000,63
1980,Urban,Interstate,Hawaii,34,197,698000000,12
1980,Urban,Interstate,Idaho,50,2185,228000000,5
1980,Urban,Interstate,Illinois,419,1288,8584000000,82
1980,Urban,Interstate,Indiana,263,506,3918000000,18
1980,Urban,Interstate,Iowa,119,204,784000000,9
1980,Urban,Interstate,Kansas,131,593,1122000000,25
1980,Urban,Interstate,Kentucky,140,671,2153000000,18
1980,Urban,Interstate,Louisiana,126,678,1964000000,41
1980,Urban,Interstate,Maine,30,1964,109000000,4
1980,Urban,Interstate,Maryland,180,1082,4649000000,38
1980,Urban,Interstate,Massachusetts,337,133,6288000000,29
1980,Urban,Interstate,Michigan,385,2301,5922000000,70
1980,Urban,Interstate,Minnesota,178,702,2860000000,23
1980,Urban,Interstate,Mississippi,78,1505,576000000,11
1980,Urban,Interstate,Missouri,269,382,4750000000,107
1980,Urban,Interstate,Montana,39,161,96000000,4
1980,Urban,Interstate,Nebraska,35,167,449000000,11
1980,Urban,Interstate,Nevada,22,570,325000000,15
1980,Urban,Interstate,New Hampshire,40,1523,350000000,9
1980,Urban,Interstate,New Jersey,223,389,4434000000,35
1980,Urban,Interstate,New Mexico,74,2830,591000000,11
1980,Urban,Interstate,New York,575,139,7987000000,99
1980,Urban,Interstate,North Carolina,136,160,1596000000,18
1980,Urban,Interstate,North Dakota,35,105,115000000,2
1980,Urban,Interstate,Ohio,654,3318,10880000000,126
1980,Urban,Interstate,Oklahoma,143,684,2055000000,46
1980,Urban,Interstate,Oregon,117,526,1317000000,20
1980,Urban,Interstate,Pennsylvania,329,1476,4707000000,49
1980,Urban,Interstate,Rhode Island,44,26,863000000,10
1980,Urban,Interstate,South Carolina,77,341,923000000,14
1980,Urban,Interstate,South Dakota,37,145,130000000,1
1980,Urban,Interstate,Tennessee,194,898,3070000000,57
1980,Urban,Interstate,Texas,835,4310,15689000000,384
1980,Urban,Interstate,Utah,107,570,1299000000,15
1980,Urban,Interstate,Vermont,7,1060,44000000,0
1980,Urban,Interstate,Virginia,204,29,3695000000,31
1980,Urban,Interstate,Washington,222,1240,4921000000,68
1980,Urban,Interstate,West Virginia,87,491,629000000,16
1980,Urban,Interstate,Wisconsin,104,334,1729000000,8
1980,Urban,Interstate,Wyoming,39,155,144000000,10
1980,Urban,Other Freeway and Expressway,Alabama,0,0,0,0
1980,Urban,Other Freeway and Expressway,Alaska,0,8,0,5
1980,Urban,Other Freeway and Expressway,Arizona,7,286,114000000,7
1980,Urban,Other Freeway and Expressway,Arkansas,83,27,341000000,10
1980,Urban,Other Freeway and Expressway,California,1075,6413,25542000000,349
1980,Urban,Other Freeway and Expressway,Colorado,95,486,797000000,26
1980,Urban,Other Freeway and Expressway,Connecticut,188,752,1680000000,15
1980,Urban,Other Freeway and Expressway,Delaware,6,112,33000000,0
1980,Urban,Other Freeway and Expressway,District of Columbia,23,20,236000000,10
1980,Urban,Other Freeway and Expressway,Florida,255,758,2174000000,125
1980,Urban,Other Freeway and Expressway,Georgia,112,471,795000000,20
1980,Urban,Other Freeway and Expressway,Hawaii,54,238,656000000,17
1980,Urban,Other Freeway and Expressway,Idaho,4,392,27000000,0
